"ncit_value","origin_id"
"abdomen","C12664"
"abdomen_nos","C12664"
"abdominal_desmoid","C3741"
"abdominal_esophagus","C12252"
"abdominal_fibromatosis","C3741"
"abdominal_peritoneum","C159355"
"abi1","C24824"
"abl1","C17346"
"abl2","C18451"
"abnormal_nos","C26683"
"absent","C48190"
"absolute_neutrophil","C63321"
"accessory_sinus_nos","C12763"
"accidental_building_fire_smoke","C164066"
"accidental_fire_smoke_grass","C164067"
"accidental_fire_smoke_nos","C164059"
"accidental_forest_fire_smoke","C164068"
"accidental_vehicle_fire_smoke","C164069"
"achromic_nevus","C27095"
"acidophil_adenocarcinoma","C4147"
"acidophil_adenoma","C6780"
"acidophil_carcinoma","C4147"
"acinar_adenocarcinoma","C3768"
"acinar_adenocarcinoma_sarcomatoid","C5530"
"acinar_adenoma","C4196"
"acinar_carcinoma","C3768"
"acinar_cell_adenoma","C4196"
"acinar_cell_carcinoma","C3768"
"acinar_cell_cystadenocarcinoma","C5727"
"acinar_cell_tumor","C4197"
"acinic_cell_adenocarcinoma","C3768"
"acinic_cell_adenoma","C4196"
"acinic_cell_tumor","C4197"
"ackr3","C91369"
"acoustic_nerve","C12697"
"acoustic_neuroma","C3276"
"acquired_cystic_diseaseassociated_renal_cell_carcinoma_rcc","C157718"
"acral_lentiginous_melanoma_malignant","C4022"
"acsl3","C97365"
"acsl6","C97519"
"acute_basophilic_leukaemia","C3164"
"acute_bilineal_leukemia","C6923"
"acute_biphenotypic_leukemia","C4673"
"acute_erythremia","C8923"
"acute_erythremic_myelosis","C7467"
"acute_erythroid_leukaemia","C8923"
"acute_granulocytic_leukemia","C3171"
"acute_leukemia_burkitt_type","C7400"
"acute_leukemia_nos","C9298"
"acute_lymphatic_leukemia","C3167"
"acute_lymphoblastic_leukemia_l2_type_nos","C27281"
"acute_lymphoblastic_leukemia_mature_bcell_type","C7400"
"acute_lymphoblastic_leukemia_nos","C3167"
"acute_lymphoblastic_leukemia_precursor_cell_type","C3167"
"acute_lymphoblastic_leukemialymphoma_nos","C3167"
"acute_lymphocytic_leukemia","C3167"
"acute_lymphoid_leukemia","C3167"
"acute_megakaryoblastic_leukaemia","C3170"
"acute_mixed_lineage_leukemia","C6923"
"acute_monoblastic_and_monocytic_leukemia","C7318"
"acute_monoblastic_leukemia","C7171"
"acute_monocytic_leukemia","C4861"
"acute_myeloblastic_leukemia","C3171"
"acute_myelocytic_leukemia","C3171"
"acute_myelofibrosis","C4344"
"acute_myelogenous_leukemia","C3171"
"acute_myeloid_leukaemia_t821q22q22","C9288"
"acute_myeloid_leukemia_aml1cbfalphaeto","C9288"
"acute_myeloid_leukemia_cbfbetamyh11","C9287"
"acute_myeloid_leukemia_inv16p13q22","C9018"
"acute_myeloid_leukemia_m6_type","C8923"
"acute_myeloid_leukemia_megakaryoblastic_with_t122p13q13_rbm15mkl1","C82427"
"acute_myeloid_leukemia_minimal_differentiation","C8460"
"acute_myeloid_leukemia_mll","C82403"
"acute_myeloid_leukemia_nos","C27753"
"acute_myeloid_leukemia_pmlraralpha","C3182"
"acute_myeloid_leukemia_t1616p_13q_11","C9019"
"acute_myeloid_leukemia_with_abnormal_marrow_eosinophils_includes_all_variants","C9287"
"acute_myeloid_leukemia_with_inv3q21q262_or_t33q21q262_rpn1evi1","C82426"
"acute_myeloid_leukemia_with_maturation","C3250"
"acute_myeloid_leukemia_with_multilineage_dysplasia","C9289"
"acute_myeloid_leukemia_with_mutated_cebpa","C82433"
"acute_myeloid_leukemia_with_mutated_npm1","C82431"
"acute_myeloid_leukemia_with_myelodysplasiarelated_changes","C7600"
"acute_myeloid_leukemia_with_prior_myelodysplastic_syndrome","C4037"
"acute_myeloid_leukemia_with_t69p23q34_deknup214","C82423"
"acute_myeloid_leukemia_with_t821q22q22_runx1runx1t1","C9288"
"acute_myeloid_leukemia_with_t911p22q23_mllt3mll","C82403"
"acute_myeloid_leukemia_without_maturation","C3249"
"acute_myeloid_leukemia_without_prior_myelodysplastic_syndrome","C4037"
"acute_myelomonocytic_leukemia","C7463"
"acute_myelomonocytic_leukemia_with_abnormal_eosinophils","C9020"
"acute_myelosclerosis_nos","C4344"
"acute_myloid_leukemia_11q23_abnormalities","C82403"
"acute_nonlymphocytic_leukemia","C3171"
"acute_panmyelosis_nos","C4344"
"acute_panmyelosis_with_myelofibrosis","C4344"
"acute_promyelocytic_leukaemia_pmlraralpha","C3182"
"acute_promyelocytic_leukaemia_t1517q22q1112","C3182"
"acute_promyelocytic_leukemia_nos","C3182"
"acvr1","C21267"
"acvr2a","C21271"
"adamantinoma_malignant","C7644"
"adamantinoma_nos","C7644"
"adamantinoma_of_long_bones","C7644"
"additional_pathology_findings","C158809"
"adenoacanthoma","C4200"
"adenoameloblastoma","C4310"
"adenocarcinoid_tumor","C4139"
"adenocarcinoma_admixed_with_neuroendocrine_carcinoma","C127915"
"adenocarcinoma_combined_with_other_types_of_carcinoma","C65197"
"adenocarcinoma_cylindroid","C2970"
"adenocarcinoma_diffuse_type","C4127"
"adenocarcinoma_endocervical_type","C66951"
"adenocarcinoma_in_a_polyp_nos","C7676"
"adenocarcinoma_in_adenomatous_polyp","C7676"
"adenocarcinoma_in_adenomatous_polyposis_coli","C4134"
"adenocarcinoma_in_multiple_adenomatous_polyps","C4136"
"adenocarcinoma_in_polypoid_adenoma","C7676"
"adenocarcinoma_in_situ_in_a_polyp_nos","C7680"
"adenocarcinoma_in_situ_in_adenomatous_polyp","C7678"
"adenocarcinoma_in_situ_in_polypoid_adenoma","C7678"
"adenocarcinoma_in_situ_in_tubular_adenoma","C7679"
"adenocarcinoma_in_situ_in_tubulovillous_adenoma","C4144"
"adenocarcinoma_in_situ_in_villous_adenoma","C8376"
